schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,n_qubits,topology,n_edges,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,fidelity,runtime_seconds,optimizer,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes,status,error_message,error_type
2.0.0,E17,e17_full_20260721_054304,2026-07-21T05:43:06.969930+00:00,qft_3,QFT,3,linear,2.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,greedy_phase1,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,,ok,,
2.0.0,E17,e17_full_20260721_054304,2026-07-21T05:43:06.972121+00:00,qft_3,QFT,3,linear,2.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0015876293182373,commutation_phase2,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,,ok,,
2.0.0,E17,e17_full_20260721_054304,2026-07-21T05:43:06.984830+00:00,qft_3,QFT,3,linear,2.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008603811264038,hybrid_phase1_2,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,,ok,,
2.0.0,E17,e17_full_20260721_054304,2026-07-21T05:43:06.997909+00:00,qft_3,QFT,3,grid,2.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0066802501678466,greedy_phase1,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,7993aa8b2d92faa6776ee1020027eea1c24b83e2b9bd36892034b806824c3f4f,7993aa8b2d92faa6776ee1020027eea1c24b83e2b9bd36892034b806824c3f4f,,ok,,
2.0.0,E17,e17_full_20260721_054304,2026-07-21T05:43:07.003470+00:00,qft_3,QFT,3,grid,2.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0039038658142089,commutation_phase2,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,7993aa8b2d92faa6776ee1020027eea1c24b83e2b9bd36892034b806824c3f4f,7993aa8b2d92faa6776ee1020027eea1c24b83e2b9bd36892034b806824c3f4f,,ok,,
2.0.0,E17,e17_full_20260721_054304,2026-07-21T05:43:07.016308+00:00,qft_3,QFT,3,grid,2.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0111782550811767,hybrid_phase1_2,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,7993aa8b2d92faa6776ee1020027eea1c24b83e2b9bd36892034b806824c3f4f,7993aa8b2d92faa6776ee1020027eea1c24b83e2b9bd36892034b806824c3f4f,,ok,,
2.0.0,E17,e17_full_20260721_054304,2026-07-21T05:43:07.027745+00:00,qft_3,QFT,3,heavy_hex,2.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0031592845916748,greedy_phase1,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,,ok,,
2.0.0,E17,e17_full_20260721_054304,2026-07-21T05:43:07.032723+00:00,qft_3,QFT,3,heavy_hex,2.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0039451122283935,commutation_phase2,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,,ok,,
2.0.0,E17,e17_full_20260721_054304,2026-07-21T05:43:07.039883+00:00,qft_3,QFT,3,heavy_hex,2.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0065615177154541,hybrid_phase1_2,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,,ok,,
2.0.0,E17,e17_full_20260721_054304,2026-07-21T05:43:07.062766+00:00,ghz_3,GHZ,3,linear,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,greedy_phase1,42.0,1.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,,ok,,
